Gautama Buddha	wn31-09555346-n
Willem de Kooning	wn31-10948050-n
Mercury (mythology)	wn31-09585833-n
Bull Run (Occoquan River)	wn31-09174555-n
East Coast of the United States	wn31-09070583-n
Poitou-Charentes	wn31-08963997-n
Popular Front for the Liberation of Palestine	wn31-08055131-n
Karl von Frisch	wn31-11002866-n
Pythia	wn31-04414979-n
Laurel and Hardy	wn31-08198293-n
Book of Jonah	wn31-06451594-n
Antonio Stradivari	wn31-11340816-n
Vienne, Isère	wn31-08958801-n
Malta	wn31-08988590-n
Galveston, Texas	wn31-09167221-n
Morrison Waite	wn31-11390309-n
John Dos Passos	wn31-10960466-n
Jerome Robbins	wn31-11283793-n
Pasiphaë	wn31-09591772-n
Pope Urban VI	wn31-11377081-n
Arthur M. Schlesinger, Sr.	wn31-11304732-n
Cappadocia (Roman province)	wn31-08718975-n
Robert Louis Stevenson	wn31-11337892-n
Lashkar-e-Taiba	wn31-08047773-n
Alaska Purchase	wn31-01113474-n
Perseus (constellation)	wn31-09413129-n
George Washington Goethals	wn31-11023914-n
John D. Rockefeller	wn31-11287103-n
Black Rock Desert	wn31-09191489-n
Joseph E. Johnston	wn31-11108761-n
San Jose, California	wn31-09088494-n
Wassily Kandinsky	wn31-11116328-n
Marseille	wn31-08956606-n
Split, Croatia	wn31-08836868-n
Al Mukalla	wn31-09188087-n
Irtysh River	wn31-09338972-n
Sherwood Forest	wn31-09455689-n
Mississippian (geology)	wn31-15152681-n
Lucius D. Clay	wn31-10919898-n
Alban Berg	wn31-10865685-n
Decatur, Illinois	wn31-09106197-n
Chimborazo	wn31-09266521-n
Pope Boniface VIII	wn31-10876395-n
Arkansas River	wn31-09229263-n
P. T. Barnum	wn31-10854465-n
Guangzhou	wn31-08743287-n
Rabindranath Tagore	wn31-11349025-n
Mesolithic	wn31-15258036-n
Tupac Katari Guerrilla Army	wn31-08062784-n
Bernard Hinault	wn31-11070718-n
Dhahran	wn31-09016910-n
Madeira	wn31-09008094-n
Salmon P. Chase	wn31-10913358-n
Cyrus McCormick	wn31-11188635-n
Solomon R. Guggenheim	wn31-11039069-n
James Hogg	wn31-11075802-n
Enlil	wn31-09541155-n
William Craigie	wn31-10933886-n
Sebastián Vizcaíno	wn31-11388071-n
Omega Centauri	wn31-09401713-n
Lombardy	wn31-08826466-n
Utica, Tunisia	wn31-08939980-n
Principality of Achaea	wn31-08800342-n
Carbondale, Illinois	wn31-09105689-n
Jay Gould	wn31-11029269-n
Father Brown	wn31-09622062-n
Jacques-Louis David	wn31-10943824-n
Upanishads	wn31-06477924-n
Henry VII, Holy Roman Emperor	wn31-11063384-n
W. Somerset Maugham	wn31-11184960-n
James Madison	wn31-11168476-n
Cape Fear River	wn31-09257398-n
Space Needle	wn31-04272645-n
Cleveland	wn31-09153394-n
Idaho	wn31-09103738-n
Maui	wn31-09102671-n
Catalonia	wn31-09050432-n
Kissimmee River	wn31-09349045-n
Rappahannock River	wn31-09428393-n
Areopagus	wn31-08803595-n
Simon the Zealot	wn31-11321409-n
Fidel Castro	wn31-10906681-n
Hermes	wn31-09585448-n
Hannibal, Missouri	wn31-09129236-n
Penobscot	wn31-09685072-n
Edward Lawrie Tatum	wn31-11352887-n
Bruce Lee	wn31-11144290-n
John Witherspoon	wn31-11413541-n
Madison, Wisconsin	wn31-09180810-n
Charles F. Kettering	wn31-11122868-n
Oaxaca City	wn31-08762583-n
Admiralty Mountains	wn31-09210991-n
Port Moresby	wn31-08864045-n
Jan Tinbergen	wn31-11362900-n
Camille Saint-Saëns	wn31-11298341-n
Adélie Land	wn31-08511792-n
Lê Đức Thọ	wn31-11143429-n
Columbia, South Carolina	wn31-09161073-n
Robert Curl	wn31-10937871-n
James Crichton	wn31-10934777-n
Zealand	wn31-08779530-n
Hungary	wn31-08971963-n
James Ussher	wn31-11377874-n
Fred M. Vinson	wn31-11387030-n
Saale	wn31-09441047-n
Erle Stanley Gardner	wn31-11010367-n
Dorothy L. Sayers	wn31-11303672-n
Elia Kazan	wn31-11118029-n
Honolulu	wn31-09101302-n
James J. Hill	wn31-11070052-n
Palatine Hill	wn31-08815264-n
New River (Kanawha River)	wn31-09393079-n
Boris Spassky	wn31-11329767-n
Great Slave Lake	wn31-09316650-n
Cornwall	wn31-08901625-n
Origen	wn31-11236552-n
Etruria	wn31-08831659-n
Ouachita River	wn31-09403729-n
Eleonora Duse	wn31-10966473-n
Bathsheba	wn31-10857884-n
Dushanbe	wn31-09043683-n
Iseult	wn31-10570822-n
Iowa	wn31-09108718-n
Garonne	wn31-09310030-n
Arabian Desert	wn31-09190560-n
Simon Kuznets	wn31-11133256-n
Frank Sinatra	wn31-11322057-n
John Bunyan	wn31-10891343-n
Humphrey Bogart	wn31-10874643-n
Biblical Elam	wn31-08933015-n
Forth River (Tasmania)	wn31-09307339-n
Aberdare	wn31-08915375-n
Peninsular Malaysia	wn31-08984077-n
Sigurd	wn31-09525212-n
Tupungato	wn31-09486851-n
Hendrik Verwoerd	wn31-11384238-n
Noël Coward	wn31-10933393-n
Odessa	wn31-09039375-n
Roger Mortimer, 1st Earl of March	wn31-11212891-n
N'Djamena	wn31-08738113-n
I. F. Stone	wn31-11339408-n
Taipei	wn31-08748728-n
Belgium	wn31-08868745-n
Henry IV, Holy Roman Emperor	wn31-11062032-n
Oujda	wn31-08992669-n
Aden	wn31-09187696-n
Warsaw	wn31-09005475-n
John Ross (Royal Navy officer)	wn31-11291339-n
Max Delbrück	wn31-10948561-n
Lillie Langtry	wn31-11137098-n
Colossus of Rhodes	wn31-03077020-n
Uncle Remus	wn31-09627188-n
Mazatlán	wn31-08761778-n
Krzysztof Kieślowski	wn31-11124886-n
North Yorkshire	wn31-08905607-n
Fornax	wn31-09307214-n
Tutankhamun	wn31-11373842-n
Nikolai Lobachevsky	wn31-11156612-n
Norman Haworth	wn31-11055359-n
Liepāja	wn31-09035973-n
François Villon	wn31-11386782-n
Python (mythology)	wn31-09524330-n
Fleet Street	wn31-08589567-n
Guadalupe Island	wn31-08764630-n
Crux	wn31-09464256-n
Mindanao	wn31-09003290-n
Aberdeen, Maryland	wn31-09116677-n
John Drew (actor)	wn31-10963248-n
George Bernard Shaw	wn31-11315926-n
Bartolomé Esteban Murillo	wn31-11217623-n
Messina	wn31-08823653-n
Amelia Earhart	wn31-10967395-n
Clive Sinclair	wn31-11322219-n
Siege of Vicksburg	wn31-01301288-n
Corona Borealis	wn31-09280047-n
Paris (mythology)	wn31-09523349-n
Sayan Mountains	wn31-09448037-n
Charles Edward Ringling	wn31-11283170-n
Crucifixion of Jesus	wn31-07347464-n
Aaron Montgomery Ward	wn31-11393892-n
Virginia Wade	wn31-11389671-n
Mary Wollstonecraft	wn31-11415194-n
Edmond Halley	wn31-11045322-n
Joseph (surname)	wn31-11111696-n
Red River of the South	wn31-09428827-n
Stephen Foster	wn31-10995792-n
Winfield Scott	wn31-11309297-n
Corvus (genus)	wn31-01581462-n
Cornelius Jansen	wn31-11100735-n
Sigmund Romberg	wn31-11289357-n
Eugene Ormandy	wn31-11236787-n
Charles Grey, 2nd Earl Grey	wn31-11035646-n
Federated States of Micronesia	wn31-08856040-n
Richard Adolf Zsigmondy	wn31-11427860-n
Panacea	wn31-09586171-n
Peter Lorre	wn31-11158914-n
Rio Grande	wn31-09433602-n
Wembley	wn31-08895429-n
Chongqing	wn31-08742994-n
Ronald George Wreyford Norrish	wn31-11229665-n
Greenville, Mississippi	wn31-09127353-n
Ottawa River	wn31-09403500-n
Andrew Wyeth	wn31-11420122-n
Nevada	wn31-09133059-n
Nestorius	wn31-11224399-n
Ramesses IV	wn31-11273087-n
George William Russell	wn31-11295025-n
Jimmy Doolittle	wn31-10960045-n
Lee de Forest	wn31-10947175-n
Battle of Shiloh	wn31-01296993-n
Ligurian Sea	wn31-09362178-n
Jacob Bernoulli	wn31-10867952-n
Curitiba	wn31-08874497-n
Dorothea Dix	wn31-10957603-n
Alexander of Greece	wn31-10831964-n
Orlande de Lassus	wn31-11138352-n
Benjamin	wn31-10864646-n
Boethius	wn31-10874373-n
Henry Wadsworth Longfellow	wn31-11157918-n
Mount Etna	wn31-09197615-n
Azerbaijan	wn31-09040532-n
Maputo	wn31-08993905-n
Stonewall Jackson	wn31-11096069-n
Edwin of Northumbria	wn31-10972911-n
Book of Joshua	wn31-06445593-n
Nuptse	wn31-09398605-n
New Deal	wn31-15286282-n
Liverpool	wn31-08897609-n
Alexander Korda	wn31-11129414-n
Johann Friedrich Herbart	wn31-11064512-n
Christian Doppler	wn31-10960307-n
Isaac Stern	wn31-11336823-n
Libyan Islamic Fighting Group	wn31-08049347-n
Panama Canal Zone	wn31-08757662-n
Seiji Ozawa	wn31-11239492-n
Trofim Lysenko	wn31-11166000-n
Bellerophon	wn31-09523135-n
Ishmael	wn31-11094563-n
Barbara W. Tuchman	wn31-11371207-n
Willa Cather	wn31-10906889-n
Taras Shevchenko	wn31-11318509-n
Lhotse	wn31-09361618-n
Hastings	wn31-08903703-n
Greenville, North Carolina	wn31-09151735-n
Nathan Bailey	wn31-10850732-n
Jacques Lipchitz	wn31-11153768-n
University of North Carolina at Chapel Hill	wn31-04519633-n
Humboldt Current	wn31-11510278-n
Walter Lippmann	wn31-11154610-n
Juan Carlos I of Spain	wn31-11113315-n
Islay	wn31-08914095-n
Red Cloud	wn31-11275907-n
Alpha Centauri	wn31-09216650-n
Volta River	wn31-09496688-n
Vulpecula	wn31-09496815-n
Arturo Toscanini	wn31-11366252-n
Faisalabad	wn31-08999169-n
Gracie Allen	wn31-10834717-n
Filippo Lippi	wn31-11154186-n
American Standard Version	wn31-06461147-n
Gordie Howe	wn31-11082796-n
Arthur Eddington	wn31-10968470-n
Cannae	wn31-01276493-n
Mesa, Arizona	wn31-09080534-n
Phnom Penh	wn31-08734892-n
Isle of Wight	wn31-09502368-n
Pope Callixtus II	wn31-10899541-n
Harry Kroto	wn31-11131325-n
Alfred Korzybski	wn31-11129553-n
Muhammad Ali	wn31-10834178-n
Austral Islands	wn31-09013071-n
Nijmegen	wn31-08970560-n
First of October Anti-Fascist Resistance Groups	wn31-08037882-n
Sicily	wn31-08829067-n
Elizabeth Cady Stanton	wn31-11333502-n
Otto Robert Frisch	wn31-11003168-n
Nag Hammadi library	wn31-08001247-n
Edna Ferber	wn31-10988496-n
Louis Untermeyer	wn31-11376278-n
Taj Mahal	wn31-04393370-n
Kate Chopin	wn31-10916575-n
Doha	wn31-09009632-n
Jacobus Arminius	wn31-10842566-n
Eurydice	wn31-09594759-n
Illyria	wn31-08722479-n
Tamara Karsavina	wn31-11117198-n
Kazimir Malevich	wn31-11171426-n
Staten Island	wn31-09145948-n
Ferdinand de Saussure	wn31-10951385-n
Revised Version	wn31-06460924-n
Hideki Yukawa	wn31-11424398-n
Chartres	wn31-08955289-n
Italian Renaissance	wn31-15284941-n
Heitor Villa-Lobos	wn31-11386543-n
Rock Island, Illinois	wn31-09106836-n
West Africa	wn31-09201207-n
Atlanta	wn31-09099186-n
Norman Thomas	wn31-11359356-n
Bogotá	wn31-08750812-n
Vicente López, Buenos Aires	wn31-08731372-n
Henry Cavendish	wn31-10908153-n
Abilene, Kansas	wn31-09110709-n
Kola Peninsula	wn31-09033344-n
Divine Comedy	wn31-06391879-n
Moray Firth	wn31-09381928-n
University of Michigan	wn31-04519387-n
Edward Lear	wn31-11142429-n
Poland	wn31-09004957-n
Alicia Alonso	wn31-10834947-n
Cuquenan Falls	wn31-09284988-n
Kitakyushu	wn31-08945473-n
R. J. Mitchell	wn31-11202815-n
Jean-Antoine Watteau	wn31-11396934-n
Ralph Barton Perry	wn31-11250659-n
Death (personification)	wn31-09511714-n
André Eglevsky	wn31-10973336-n
Battle of Magenta	wn31-01288277-n
Nicolas Malebranche	wn31-11171312-n
25 de Abril Bridge	wn31-03987562-n
Allentown, Pennsylvania	wn31-09157700-n
Brussels	wn31-08869442-n
Black Sea	wn31-09246232-n
San Francisco Bay	wn31-09445364-n
Jakob Böhme	wn31-10873993-n
Job (biblical figure)	wn31-11105392-n
Plácido Domingo	wn31-10958191-n
Quran	wn31-06473279-n
William Tell	wn31-10718145-n
Terence Rattigan	wn31-11274940-n
Human Genome Project	wn31-00642936-n
Chiang Kai-shek	wn31-10915440-n
Lucullus	wn31-11163590-n
Strategic Arms Limitation Talks	wn31-07164290-n
Mashriq	wn31-08809830-n
Charles Proteus Steinmetz	wn31-11335575-n
Bristol	wn31-08898935-n
Athens, Ohio	wn31-09153279-n
Pierre Larousse	wn31-11138062-n
Count Dracula	wn31-09615446-n
Isis	wn31-09535526-n
Azores	wn31-09007715-n
François Baudouin	wn31-10851847-n
Zarqa	wn31-08947856-n
Falstaff	wn31-09621924-n
Newport, Rhode Island	wn31-09160390-n
Capra (genus)	wn31-02419056-n
California	wn31-09083238-n
Robert Edwin Lee	wn31-11143580-n
Wolfgang Amadeus Mozart	wn31-11214345-n
Corinth	wn31-08804284-n
Orestes	wn31-09619131-n
Scorpius	wn31-08705083-n
Fayetteville, West Virginia	wn31-09178866-n
Alois Senefelder	wn31-11312652-n
Tallulah Bankhead	wn31-10852900-n
Oxford	wn31-08898034-n
Louis B. Mayer	wn31-11186867-n
Semarang	wn31-08930003-n
Anne Boleyn	wn31-10875027-n
Alfred Dreyfus	wn31-10963397-n
Benjamin Disraeli	wn31-10957356-n
Republic of Bosnia and Herzegovina	wn31-08835482-n
Gerhard Herzberg	wn31-11067134-n
Washington, D.C.	wn31-09093291-n
Serengeti National Park	wn31-09058770-n
Mao Zedong	wn31-11175434-n
GBU-28	wn31-02924169-n
IJsselmeer	wn31-09332726-n
Versailles (city)	wn31-08958392-n
Cape Verde	wn31-08735563-n
Gustav Kirchhoff	wn31-11125935-n
Virgin Islands National Park	wn31-08627044-n
Braunschweig	wn31-08790384-n
Channel Islands	wn31-08907240-n
Blue Nile	wn31-09247100-n
Outer Hebrides	wn31-08914546-n
John Ciardi	wn31-10917548-n
Mozambique Channel	wn31-09385563-n
Mantineia	wn31-01288886-n
Maurice Utrillo	wn31-11378220-n
Cumberland Plateau	wn31-09284510-n
Walter Mitty	wn31-10785103-n
Francis Galton	wn31-11008566-n
Platte River	wn31-09418485-n
Memphis, Tennessee	wn31-09163849-n
Demogorgon	wn31-09510676-n
Jelly Roll Morton	wn31-11213048-n
Robert Burns Woodward	wn31-11416333-n
George Ellery Hale	wn31-11043438-n
Calvary	wn31-08814071-n
Lake Okeechobee	wn31-09400773-n
Io (mythology)	wn31-09586554-n
Lord Byron	wn31-10897005-n
Utica, New York	wn31-09148295-n
R. H. Tawney	wn31-11353066-n
San José, Costa Rica	wn31-08754209-n
Lev Landau	wn31-11135775-n
University of Texas at Austin	wn31-04520228-n
Georgy Zhukov	wn31-11426456-n
Pieter Bruegel the Elder	wn31-10887764-n
Lilongwe	wn31-08982868-n
Andes	wn31-09219489-n
Roman Empire	wn31-08818110-n
World Trade Center (1973–2001)	wn31-04611367-n
Mont Blanc	wn31-09380744-n
Maureen Connolly	wn31-10926988-n
Antalya	wn31-09063314-n
Matthew Flinders	wn31-10993331-n
G. M. Trevelyan	wn31-11368579-n
Cambridge, Massachusetts	wn31-09119256-n
Saint Timothy	wn31-11362761-n
Isthmus of Tehuantepec	wn31-09343517-n
Marquesas Islands	wn31-09013369-n
Ludwig Uhland	wn31-11375423-n
Mikhail Lermontov	wn31-11149007-n
Janis Joplin	wn31-11111535-n
Scylla	wn31-09514635-n
Portland, Oregon	wn31-09156590-n
Arlington, Texas	wn31-09165624-n
Roy Orbison	wn31-11236090-n
Gustave Flaubert	wn31-10992689-n
Aquarius (constellation)	wn31-08705622-n
Charles Sanders Peirce	wn31-11248288-n
Turkistan Islamic Party	wn31-08042588-n
Robert E. Sherwood	wn31-11318393-n
Marilyn Horne	wn31-11080683-n
Maldives	wn31-08987602-n
La Paz	wn31-08872300-n
Mount Logan	wn31-09365635-n
New Haven, Connecticut	wn31-09091906-n
Cape Colony	wn31-09023950-n
John Keble	wn31-11118697-n
William Cowper (anatomist)	wn31-10933758-n
Rabat	wn31-08992796-n
Alexander Woollcott	wn31-11416938-n
Varna	wn31-08732799-n
Mother Goose	wn31-09625222-n
Charles Frederick Menninger	wn31-11194344-n
Neptune (mythology)	wn31-09592459-n
Michael Stuart Brown	wn31-10885972-n
Bakersfield, California	wn31-09084790-n
James Mill	wn31-11199492-n
Sinclair Lewis	wn31-11150464-n
Chili pepper	wn31-12921747-n
Restoration (1660)	wn31-01310097-n
Urðr	wn31-09605791-n
Davenport, Iowa	wn31-09109186-n
Honoré de Balzac	wn31-10852707-n
Gibson Desert	wn31-09192454-n
Macau	wn31-08749256-n
Henry V of England	wn31-11062477-n
Walther Nernst	wn31-11223277-n
Nebraska	wn31-09132074-n
Saqqara	wn31-08920274-n
Worcester	wn31-08901244-n
Grigori Rasputin	wn31-11274673-n
Conrad Aiken	wn31-10830153-n
Thomas Crawford (sculptor)	wn31-10934410-n
Ebro	wn31-09294321-n
Arnold Palmer	wn31-11241640-n
New Hampshire	wn31-09134282-n
Ecuador	wn31-08794520-n
Coosa River	wn31-09278827-n
Kennewick, Washington	wn31-09176636-n
Kiribati	wn31-08859741-n
William Wycherley	wn31-11419712-n
Arnold Gesell	wn31-11017230-n
Cotswolds	wn31-08814559-n
University of Vermont	wn31-04520343-n
Scorpius	wn31-09449021-n
James Stewart	wn31-11338166-n
Sault Ste. Marie, Ontario	wn31-08847005-n
Jerry Lee Lewis	wn31-11151348-n
Antony Tudor	wn31-11371672-n
Akira Kurosawa	wn31-11132897-n
Buganda	wn31-09065886-n
Cepheus, King of Aethiopia	wn31-09520772-n
William IV of the United Kingdom	wn31-11409296-n
Poplar Bluff, Missouri	wn31-09129927-n
Menai Strait	wn31-09373673-n
North Africa	wn31-09201038-n
George Orwell	wn31-11237469-n
Nyx	wn31-09579091-n
Louis Comfort Tiffany	wn31-11362296-n
University of California, Berkeley	wn31-04519127-n
Bobby Fischer	wn31-10991520-n
Ceres (mythology)	wn31-09581885-n
Ishtar	wn31-09539633-n
Mount Sinai	wn31-09458416-n
Dionysus	wn31-09582027-n
Alfred North Whitehead	wn31-11404561-n
Bihar	wn31-08925053-n
Peter Behrens	wn31-10861476-n
Book of Common Prayer	wn31-06468841-n
Strategic Arms Limitation Talks	wn31-06788019-n
McAlester, Oklahoma	wn31-09155055-n
Kyushu	wn31-08941165-n
Asura	wn31-09547575-n
Little Bighorn River	wn31-09363109-n
Sir George Trevelyan, 2nd Baronet	wn31-11368351-n
Pennsylvania	wn31-09157583-n
Real Irish Republican Army	wn31-08057514-n
Ninurta	wn31-09544292-n
Mary Magdalene	wn31-11182572-n
Anzio	wn31-08825568-n
Viti Levu	wn31-08796788-n
Creon	wn31-09619721-n
Charles Follen McKim	wn31-11189284-n
Germaine de Staël	wn31-11331954-n
Wabash River	wn31-09496938-n
Allah	wn31-09561655-n
Wilderness, Virginia	wn31-09502554-n
Benito Mussolini	wn31-11218243-n
Richard Haldane, 1st Viscount Haldane	wn31-11042461-n
Schenectady, New York	wn31-09148020-n
Sargasso Sea	wn31-09446821-n
Namur	wn31-08870822-n
Lewiston, Idaho	wn31-09104486-n
Mick Jagger	wn31-11098640-n
Libreville	wn31-08965478-n
Fifth Crusade	wn31-00971962-n
John James Rickard Macleod	wn31-11168249-n
Aries (constellation)	wn31-08703867-n
Will Rogers	wn31-11288873-n
Dwight D. Eisenhower	wn31-10974958-n
Philistia	wn31-08817558-n
Arthur Schopenhauer	wn31-11306344-n
Belisarius	wn31-10861626-n
Zambia	wn31-09188406-n
John Fletcher (playwright)	wn31-10993156-n
Nicholas II of Russia	wn31-11226140-n
Eratosthenes	wn31-10980222-n
Erich von Stroheim	wn31-11342622-n
Turin	wn31-08828072-n
Rasmus Rask	wn31-11274203-n
Al Capone	wn31-10901536-n
Theodore Dreiser	wn31-10963107-n
James Cagney	wn31-10898596-n
Saint Kitts	wn31-09010249-n
Battle of Karbala	wn31-01273353-n
Samson	wn31-11299638-n
William Pitt the Younger	wn31-11256487-n
Babylonian captivity	wn31-00208990-n
Kingston upon Hull	wn31-08897435-n
William Holman Hunt	wn31-11087037-n
Magdalena River	wn31-09368162-n
University of Wisconsin–Madison	wn31-04520727-n
Bolivia	wn31-08871835-n
Richard Smalley	wn31-11324907-n
Thomas Hardy	wn31-11048671-n
Johnny Cash	wn31-10905974-n
New Britain	wn31-08862950-n
Antilles	wn31-08765570-n
Wilkins Micawber	wn31-09625080-n
Samuel Huntington (statesman)	wn31-11087386-n
Will Keith Kellogg	wn31-11119428-n
Battle of Camlann	wn31-08524130-n
Aegina	wn31-08800699-n
William Paterson (judge)	wn31-11245155-n
Joseph Joffre	wn31-11105623-n
Asia	wn31-09230176-n
Filippo Brunelleschi	wn31-10888149-n
Flint, Michigan	wn31-09123290-n
Penelope (genus)	wn31-01802517-n
Mount Zion	wn31-08814203-n
Grand Canal (China)	wn31-08746927-n
Charles Baudelaire	wn31-10858080-n
Chancellorsville, Virginia	wn31-09174718-n
Wilmington, North Carolina	wn31-09151860-n
Benny Hill	wn31-11069933-n
Second Epistle of Peter	wn31-06458709-n
Svante Arrhenius	wn31-10843956-n
Francis Xavier	wn31-11421005-n
Ramesses II	wn31-11273087-n
Deep South	wn31-09073691-n
Parkinson's law	wn31-06780078-n
Clinton, Iowa	wn31-09109445-n
Rubicon	wn31-08662127-n
Cascade Range	wn31-09259982-n
Lund	wn31-08784404-n
Niger	wn31-08995681-n
New Hampshire	wn31-09134005-n
Governador Valadares, Minas Gerais	wn31-08874755-n
Catherine Howard	wn31-11082106-n
Ireland	wn31-08878165-n
Kate Smith	wn31-11326003-n
Galway	wn31-08909748-n
Martin Frobisher	wn31-11003499-n
Charlotte Perkins Gilman	wn31-11020345-n
Cole Porter	wn31-11263258-n
Scandinavian Peninsula	wn31-08778689-n
Norbert Wiener	wn31-11405606-n
Hadean	wn31-15154524-n
Nome, Alaska	wn31-09078518-n
Medina	wn31-09016709-n
James Prescott Joule	wn31-11112730-n
Asclepius	wn31-09582330-n
Pensacola, Florida	wn31-09097101-n
Thomas Middleton	wn31-11198771-n
Matamoros, Tamaulipas	wn31-08761619-n
Long Beach, California	wn31-09085947-n
Isaac	wn31-11093576-n
Louis Antoine de Bougainville	wn31-10878790-n
Vigdís Finnbogadóttir	wn31-10991072-n
Rahu	wn31-09551166-n
Haman (biblical figure)	wn31-10177912-n
Fort George G. Meade	wn31-09117165-n
Book of Judges	wn31-06445835-n
Plutarch	wn31-11260129-n
River Ouse, Yorkshire	wn31-09403960-n
United States Declaration of Independence	wn31-06524090-n
Illampu	wn31-09332917-n
Bologna	wn31-08824310-n
Barents Sea	wn31-09237329-n
Arthur Laffer	wn31-11134275-n
Little Red Riding Hood	wn31-10287416-n
Franz Schubert	wn31-11306608-n
Ciudad Bolívar	wn31-09185207-n
Jemaah Islamiyah	wn31-08044271-n
Philippi	wn31-08935433-n
Sun Valley, Honiara	wn31-09104804-n
Caelum	wn31-09253553-n
Ferdinand III, Holy Roman Emperor	wn31-10989110-n
Ruth (biblical figure)	wn31-11295942-n
Reticulum	wn31-09431290-n
Pope Martin V	wn31-11180190-n
Doris (mythology)	wn31-09582200-n
Li Bai	wn31-11154105-n
Aries (constellation)	wn31-09229021-n
Bishkek	wn31-09043162-n
Freyja	wn31-09603528-n
Robert Southey	wn31-11329159-n
Jenny Lind	wn31-11152758-n
South Island	wn31-08994686-n
Northern Mariana Islands	wn31-08856856-n
Ignatius of Loyola	wn31-11091167-n
Max Planck	wn31-11258896-n
Clinch River	wn31-09269566-n
Book of Joel	wn31-06451078-n
Brazzaville	wn31-08752083-n
Lake Ilmen	wn31-09354560-n
William C. Menninger	wn31-11194720-n
Margaret Mitchell	wn31-11202265-n
Orson Welles	wn31-11400763-n
Mark Twain	wn31-10920482-n
John McGraw	wn31-11188964-n
Marcus Junius Brutus the Younger	wn31-10888794-n
Tallahassee, Florida	wn31-09097675-n
Tiresias	wn31-09621240-n
Hundred Years' War	wn31-01307638-n
Erich Mendelsohn	wn31-11193768-n
Bragi	wn31-09602888-n
Ursa Major	wn31-09315095-n
Black Hills	wn31-09245787-n
Luciano Pavarotti	wn31-11247091-n
Philippine Sea	wn31-01293490-n
Denali Fault	wn31-09288180-n
David B. Steinman	wn31-11335374-n
Antichrist	wn31-10838889-n
Montpelier, Vermont	wn31-09171008-n
Giorgio de Chirico	wn31-10916007-n
New York Bay	wn31-09393294-n
Art Tatum	wn31-11352683-n
Wyoming	wn31-09181789-n
San Antonio	wn31-09168848-n
Pahang	wn31-08986325-n
North Carolina	wn31-09149568-n
Voyageurs National Park	wn31-08627242-n
Oliver Cromwell	wn31-10935857-n
Olaf II of Norway	wn31-11233542-n
Christian Friedrich Hebbel	wn31-11057832-n
Little John	wn31-10287134-n
James Hargreaves	wn31-11049001-n
Adolf Hitler	wn31-11072667-n
Isère (river)	wn31-09339218-n
Luigi Cherubini	wn31-10914657-n
Ignacy Jan Paderewski	wn31-11239625-n
Anselm of Canterbury	wn31-10838464-n
Chios	wn31-08800828-n
First Epistle to Timothy	wn31-06457143-n
